Depth (Ft),Moment (Ft-lb)
0.0,-1541165.2376259153
0.1,-1534482.6553314175
0.2,-1527801.7142692069
0.30000000000000004,-1521122.4585047557
0.4,-1514444.9322254527
0.5,-1507769.1798083305
0.6000000000000001,-1501095.2457387913
0.7000000000000001,-1494423.1746512444
0.8,-1487753.0114916593
0.9,-1481084.801124729
1.0,-1474418.5888350757
1.1,-1467754.4197854067
1.2000000000000002,-1461092.3394499894
1.3,-1454432.3934520986
1.4000000000000001,-1447774.6275233778
1.5,-1441119.0875986621
1.6,-1434465.8198024323
1.7000000000000002,-1427814.8701237075
1.8,-1421166.2850662593
1.9000000000000001,-1414520.1109848523
2.0,-1407876.3946541795
2.1,-1401235.1827134734
2.2,-1394596.5221812576
2.3000000000000003,-1387960.4599947785
2.4000000000000004,-1381327.043443482
2.5,-1374696.3198980894
2.6,-1368068.3367699615
2.7,-1361443.1416736501
2.8000000000000003,-1354820.7824810832
2.9000000000000004,-1348201.306901635
3.0,-1341584.7630781552
3.1,-1334971.1990451254
3.2,-1328360.663162133
3.3000000000000003,-1321753.203897134
3.4000000000000004,-1315148.8697316311
3.5,-1308547.709404503
3.6,-1301949.7717765425
3.7,-1295355.1057220893
3.8000000000000003,-1288763.760291582
3.9000000000000004,-1282175.7846573747
4.0,-1275591.2282221043
4.1000000000000005,-1269010.1403477704
4.2,-1262432.5706131095
4.3,-1255858.568786504
4.4,-1249288.184636336
4.5,-1242721.4681206334
4.6000000000000005,-1236158.469265154
4.7,-1229599.2381498409
4.800000000000001,-1223043.825206835
4.9,-1216492.2806921783
5.0,-1209944.6552276574
5.1000000000000005,-1203400.999407967
5.2,-1196861.3640309933
5.300000000000001,-1190325.7999352603
5.4,-1183794.3580541152
5.5,-1177267.089551189
5.6000000000000005,-1170744.0455494742
5.7,-1164225.2773887005
5.800000000000001,-1157710.8365169677
5.9,-1151200.774368828
6.0,-1144695.14256848
6.1000000000000005,-1138193.9928755832
6.2,-1131697.377103981
6.300000000000001,-1125205.3471758866
6.4,-1118717.9551625191
6.5,-1112235.2531621908
6.6000000000000005,-1105757.2933003057
6.7,-1099284.1280544666
6.800000000000001,-1092815.809712631
6.9,-1086352.3908743165
7.0,-1079893.924125495
7.1000000000000005,-1073440.4622146909
7.2,-1066992.05795816
7.300000000000001,-1060548.7641721577
7.4,-1054110.6339167692
7.5,-1047677.7201572568
7.6000000000000005,-1041250.0761433514
7.7,-1034827.7551247835
7.800000000000001,-1028410.810351284
7.9,-1021999.2953028673
8.0,-1015593.263500186
8.1,-1009192.7685180774
8.200000000000001,-1002797.8640803858
8.3,-996408.6038838631
8.4,-990025.0417471766
8.5,-983647.2315838157
8.6,-977275.2273750008
8.700000000000001,-970909.083196775
8.8,-964548.8530980889
8.9,-958194.5913717232
9.0,-951846.35226982
9.1,-945504.1902612596
9.200000000000001,-939168.1596523684
9.3,-932838.3150339415
9.4,-926514.7108613126
9.5,-920197.4018471915
9.600000000000001,-913886.4426501038
9.700000000000001,-907581.8880911279
9.8,-901283.792937158
9.9,-894992.2120770034
10.0,-888707.2005349343
10.100000000000001,-882428.8133081285
10.200000000000001,-876157.1054479484
10.3,-869892.1320870332
10.4,-863633.9484392983
10.5,-857382.6096915671
10.600000000000001,-851138.171260947
10.700000000000001,-844900.6884290839
10.8,-838670.2166537233
10.9,-832446.8113790646
11.0,-826230.5280763994
11.100000000000001,-820021.4223660262
11.200000000000001,-813819.5498817901
11.3,-807624.9662304436
11.4,-801437.7271542002
11.5,-795257.8883681815
11.600000000000001,-789085.5056416932
11.700000000000001,-782920.6348659563
11.8,-776763.3318915529
11.9,-770613.6526503422
12.0,-764471.6531283678
12.100000000000001,-758337.3892574887
12.200000000000001,-752210.9171185711
12.3,-746092.2927112045
12.4,-739981.5721704398
12.5,-733878.8115906889
12.600000000000001,-727784.0671747332
12.700000000000001,-721697.3951524459
12.8,-715618.8517537005
12.9,-709548.4931541857
13.0,-703486.3756650517
13.100000000000001,-697432.5556109945
13.200000000000001,-691387.0893438021
13.3,-685350.0332288091
13.4,-679321.4436584421
13.5,-673301.3769844893
13.600000000000001,-667289.8895858311
13.700000000000001,-661287.0379632629
13.8,-655292.8785092114
13.9,-649307.4677244719
14.0,-643330.8620421092
14.100000000000001,-637363.1179493729
14.200000000000001,-631404.2920418808
14.3,-625454.4407526978
14.4,-619513.6207316265
14.5,-613581.8884659164
14.600000000000001,-607659.3005647314
14.700000000000001,-601745.9135017747
14.8,-595841.7839133029
14.9,-589946.9683542957
15.0,-584061.5233661869
15.100000000000001,-578185.5054633179
15.200000000000001,-572318.9712954912
15.3,-566461.9773905945
15.4,-560614.5803442459
15.5,-554776.8367114252
15.600000000000001,-548948.8030200199
15.700000000000001,-543130.5358656483
15.8,-537322.091667829
15.9,-531523.5271034568
16.0,-525734.8985920504
16.1,-519956.2627427742
16.2,-514187.6759751469
16.3,-508429.1948306021
16.400000000000002,-502680.87580993527
16.5,-496942.7752920269
16.6,-491214.9497641263
16.7,-485497.4556457521
16.8,-479790.34931578493
16.900000000000002,-474093.68720728956
17.0,-468407.52565850824
17.1,-462731.9209399526
17.2,-457066.9294575952
17.3,-451412.6074142173
17.400000000000002,-445769.0110532383
17.5,-440136.19664516987
17.6,-434514.22039279307
17.7,-428903.1384040663
17.8,-423303.00690886297
17.900000000000002,-417713.88185258827
18.0,-412135.8193432005
18.1,-406568.87542092765
18.2,-401013.10608535924
18.3,-395468.56725480827
18.400000000000002,-389935.3148204955
18.5,-384413.4047278261
18.6,-378902.8926783754
18.7,-373403.83450917975
18.8,-367916.2858947222
18.900000000000002,-362440.30261108174
19.0,-356975.94019050733
19.1,-351523.25424652465
19.200000000000003,-346082.3002639714
19.3,-340653.13374800433
19.400000000000002,-335235.81014282285
19.5,-329830.38479103055
19.6,-324436.9130149119
19.700000000000003,-319055.4500283825
19.8,-313686.05105213093
19.900000000000002,-308328.77117815794
20.0,-302983.665457826
20.1,-297650.78888831293
20.200000000000003,-292330.19648711587
20.3,-287021.9430956327
20.400000000000002,-281726.0835213959
20.5,-276442.6724974344
20.6,-271171.7646822736
20.700000000000003,-265913.41468025453
20.8,-260667.6769602571
20.900000000000002,-255434.60599116122
21.0,-250214.25615379727
21.1,-245006.68176126495
21.200000000000003,-239811.93697088383
21.3,-234630.07597383883
21.400000000000002,-229461.15281908063
21.5,-224305.22144719123
21.6,-219162.33573779505
21.700000000000003,-214032.5495298783
21.8,-208915.9164931008
21.900000000000002,-203812.490229392
22.0,-198722.32434745424
22.1,-193645.47221893314
22.200000000000003,-188581.98720870132
22.3,-183531.9226071277
22.400000000000002,-178495.33154202809
22.5,-173472.2670599416
22.6,-168462.78218708825
22.700000000000003,-163466.9297464965
22.8,-158484.76254087556
22.900000000000002,-153516.33318328933
23.0,-148561.69428680168
23.1,-143620.8982951501
23.200000000000003,-138693.99755724953
23.3,-133781.0443000998
23.400000000000002,-128882.09068297036
23.5,-123997.18869580429
23.6,-119126.39025404114
23.700000000000003,-114269.7471715247
23.8,-109427.31114018381
23.900000000000002,-104599.13371648628
24.0,-99785.26638239637
24.1,-94985.76045055206
24.200000000000003,-90200.66712522246
24.3,-85430.03747521571
24.400000000000002,-80673.92245419802
24.5,-75932.37291423988
24.6,-71205.43955163156
24.700000000000003,-66493.17297461367
24.8,-61795.623628873596
24.900000000000002,-57112.84187204904
25.0,-52444.87783149395
25.1,-47791.78158037788
25.200000000000003,-43153.603049636295
25.3,-38530.39204828973
25.400000000000002,-33922.19821603244
25.5,-29329.071057097644
25.6,-24751.059960576687
25.700000000000003,-20188.214146234634
25.8,-15640.58266451025
25.900000000000002,-11108.214545523158
26.0,-6591.158507832608
26.1,-2089.463249678697
26.200000000000003,2396.8227609822293
26.3,6867.651164562649
26.400000000000002,11322.973777574378
26.5,15762.742592628569
26.6,20186.9097107052
26.700000000000003,24595.427415656643
26.8,28988.24809293103
26.900000000000002,33365.3243379411
27.0,37726.60897638334
27.1,42072.05486104644
27.200000000000003,46401.61509532199
27.3,50715.242890970425
27.400000000000002,55012.891669716744
27.5,59294.515015839206
27.6,63560.06668971539
27.700000000000003,67809.50058041088
27.8,72042.77077340972
27.900000000000002,76259.83157770667
28.0,80460.63742421143
28.1,84645.1429334791
28.200000000000003,88813.30290893721
28.3,92965.07233011263
28.400000000000002,97100.40636617763
28.5,101219.2603962691
28.6,105321.58989434667
28.700000000000003,109407.3505646537
28.8,113476.49831462509
28.900000000000002,117528.98927520643
29.0,121564.77967893911
29.1,125583.82600896743
29.200000000000003,129586.0849922655
29.3,133571.51345063018
29.400000000000002,137540.06842259597
29.5,141491.7072108464
29.6,145426.38722643376
29.700000000000003,149344.06619197078
29.8,153244.701938439
29.900000000000002,157128.25250001144
30.0,160994.67619532938
30.1,164843.9314852681
30.200000000000003,168675.97708130584
30.3,172490.7718777932
30.400000000000002,176288.27495195315
30.5,180068.445679023
30.6,183831.24354260878
30.700000000000003,187576.62833787696
30.8,191304.55999545506
30.900000000000002,195014.9987236656
31.0,198707.90493402278
31.1,202383.23922768614
31.200000000000003,206040.96249028345
31.3,209681.03579708785
31.400000000000002,213303.42047397545
31.5,216908.0780500139
31.6,220494.9703319659
31.700000000000003,224064.0592891474
31.8,227615.30715502347
31.900000000000002,231148.67640011583
32.0,234664.1297320031
32.1,238161.63008177455
32.2,241641.14063789538
32.300000000000004,245102.62483266075
32.4,248546.04630155728
32.5,251971.36897131277
32.6,255378.55700571192
32.7,258767.5747920501
32.800000000000004,262138.38696145246
32.9,265490.95842273935
33.0,268825.2543285609
33.1,272141.24006862415
33.2,275438.88131710415
33.300000000000004,278718.1439852329
33.4,281978.99424161826
33.5,285221.3984919249
33.6,288445.323466924
33.7,291650.73606671306
33.800000000000004,294837.6035368151
33.9,298005.8933462638
34.0,301155.57325533434
34.1,304286.6112681314
34.2,307398.975666455
34.300000000000004,310492.63499625406
34.4,313567.558115038
34.5,316623.7141241458
34.6,319661.0723755197
34.7,322679.60253266216
34.800000000000004,325679.2745638629
34.9,328660.05864737625
35.0,331621.92530688224
35.1,334564.8453234368
35.2,337488.7897354718
35.300000000000004,340393.72994039085
35.4,343279.6375489488
35.5,346146.48452409904
35.6,348994.2430929439
35.7,351822.88574334845
35.800000000000004,354632.3853086031
35.9,357422.7149064666
36.0,360193.8479459389
36.1,362945.7581137149
36.2,365678.4194249828
36.300000000000004,368391.8061861717
36.4,371085.89301865775
36.5,373760.654858764
36.6,376416.0669306682
36.7,379052.10478365445
36.800000000000004,381668.74427518086
36.9,384265.9615437869
37.0,386843.7330734381
37.1,389402.0356359543
37.2,391940.84634519456
37.300000000000004,394460.14262996486
37.4,396959.9022543372
37.5,399440.10325669224
37.6,401900.7240377688
37.7,404341.743303093
37.800000000000004,406763.1400697514
37.9,409164.8937408945
38.0,411546.9840041409
38.1,413909.39089253487
38.2,416252.09477100015
38.300000000000004,418575.07632956706
38.400000000000006,420878.31659691833
38.5,423161.7969471625
38.6,425425.4990795144
38.7,427669.4050521608
38.800000000000004,429893.49726871384
38.900000000000006,432097.75843757315
39.0,434282.17164981575
39.1,436446.7203114655
39.2,438591.3882315429
39.300000000000004,440716.15950015
39.400000000000006,442821.0186036124
39.5,444905.95038045436
39.6,446970.93999092013
39.7,449015.9730084101
