Depth (Ft),Shear (lbs.)
0.0,164.12322870142714
0.1,168.52977599024382
0.2,172.94851477171326
0.30000000000000004,177.38621809730918
0.4,181.83475830526308
0.5,186.29819922645922
0.6000000000000001,190.79279618443456
0.7000000000000001,195.2792654806414
0.8,199.80772769598548
0.9,204.3239984186768
1.0,208.87142517814735
1.1,213.43375265086013
1.2000000000000002,218.0069170059309
1.3,222.60040051542285
1.4000000000000001,227.2128485690413
1.5,231.8117505197123
1.6,236.4621276615837
1.7000000000000002,241.0976040902129
1.8,245.7750734379793
1.9000000000000001,250.4389966827982
2.0,255.14084901587006
2.1,259.8345736871734
2.2,264.5635182261403
2.3000000000000003,269.3005904268756
2.4000000000000004,274.04172645849513
2.5,278.8031816445359
2.6,283.59037442617694
2.7,288.361311884281
2.8000000000000003,293.175596871817
2.9000000000000004,297.97904497699494
3.0,302.81500372924694
3.1,307.66179936385686
3.2,312.50994960876153
3.3000000000000003,317.3838374492665
3.4000000000000004,322.2699167824241
3.5,327.15735072587654
3.6,332.06239460316067
3.7,336.97962997309753
3.8000000000000003,341.9198937180451
3.9000000000000004,346.8560936321084
4.0,351.81396731088773
4.1000000000000005,356.79080553379356
4.2,361.76764375669933
4.3,366.7634465237316
4.4,371.76602234223765
4.5,376.77401660192265
4.6000000000000005,381.8172307292711
4.7,386.84283492278786
4.800000000000001,391.9050135942628
4.9,396.96448304514826
5.0,402.04427165045496
5.1000000000000005,407.12812408664587
5.2,412.2214587949
5.300000000000001,417.3378218781649
5.4,422.45012113054554
5.5,427.58409414764213
5.6000000000000005,432.72890404709676
5.7,437.87235933625664
5.800000000000001,443.03477916954296
5.9,448.21074510577677
6.0,453.3921294831896
6.1000000000000005,458.5843507429604
6.2,463.7914727159734
6.300000000000001,469.00130390957594
6.4,474.21384432376794
6.5,479.46160460562345
6.6000000000000005,484.69040034335245
6.7,489.9503521178607
6.800000000000001,495.2089492820742
6.9,500.4838017698246
7.0,505.7654273090488
7.1000000000000005,511.047052848273
7.2,516.3530613728027
7.300000000000001,521.6495876252691
7.4,526.9745606939252
7.5,532.2995337625814
7.6000000000000005,537.6245068312376
7.7,542.9725082749044
7.800000000000001,548.3245735494555
7.9,553.6820572651857
8.0,559.054441694158
8.1,564.4241169025408
8.200000000000001,569.8059836035764
8.3,575.1973325766752
8.4,580.5954546012478
