Depth (Ft),Shear (lbs.)
0.0,66825.82294497828
0.1,66809.41062210815
0.2,66792.55764450911
0.30000000000000004,66775.26279303194
0.4,66757.52417122222
0.5,66739.34069539169
0.6000000000000001,66720.71087546904
0.7000000000000001,66701.6315958506
0.8,66682.10366930254
0.9,66662.12289653294
1.0,66641.69049669107
1.1,66620.80335417326
1.2000000000000002,66599.45997890817
1.3,66577.65928720757
1.4000000000000001,66555.39924715603
1.5,66532.67796229913
1.6,66509.49678724716
1.7000000000000002,66485.850574481
1.8,66461.74081407198
1.9000000000000001,66437.16330672818
2.0,66412.1194070599
2.1,66386.60532215831
2.2,66360.6218647896
2.3000000000000003,66334.16551296698
2.4000000000000004,66307.2354539243
2.5,66279.83128127844
2.6,66251.950963114
2.7,66223.59192567137
2.8000000000000003,66194.75579448295
2.9000000000000004,66165.43823479576
3.0,66135.64033029806
3.1,66105.35882992514
3.2,66074.59264998876
3.3000000000000003,66043.34165502788
3.4000000000000004,66011.60327128295
3.5,65979.37627960471
3.6,65946.66054453212
3.7,65913.4543050718
3.8000000000000003,65879.7563420745
3.9000000000000004,65845.56435270268
4.0,65810.87874333948
4.1000000000000005,65775.69734660839
4.2,65740.018266055
4.3,65703.84150167934
4.4,65667.16515702696
4.5,65629.98855479274
4.6000000000000005,65592.31115313256
4.7,65554.12943005962
4.800000000000001,65515.44514656735
4.9,65476.25464520792
5.0,65436.5581969034
5.1000000000000005,65396.35376973836
5.2,65355.64095732969
5.300000000000001,65314.4188114502
5.4,65272.685029262386
5.5,65230.44001714933
5.6000000000000005,65187.68160773457
5.7,65144.40871732986
5.800000000000001,65100.621481396236
5.9,65056.31800347928
6.0,65011.4969289687
6.1000000000000005,64966.15771602038
6.2,64920.299280946085
6.300000000000001,64873.92013367449
6.4,64827.020003283535
6.5,64779.59861885115
6.6000000000000005,64731.65245839059
6.7,64683.18341835626
6.800000000000001,64634.18838314447
6.9,64584.66748821626
7.0,64534.61910803928
7.1000000000000005,64484.04256530838
7.2,64432.93786002355
7.300000000000001,64381.30255388627
7.4,64329.13759512374
7.5,64276.44013905435
7.6000000000000005,64223.210185678094
7.7,64169.44773499497
7.800000000000001,64115.150484167476
7.9,64060.31802681253
8.0,64004.94982108601
8.1,63949.044376916594
8.200000000000001,63892.60196522634
8.3,63835.621366865984
8.4,63778.10163360832
8.5,63720.04208814819
8.6,63661.44178225841
8.700000000000001,63602.30098686101
8.8,63542.617263657485
8.9,63482.39101903091
9.0,63421.620085604816
9.1,63360.30608891156
9.200000000000001,63298.44618426952
9.3,63236.04172628899
9.4,63173.09014121041
9.5,63109.5919708779
9.600000000000001,63045.5455897591
9.700000000000001,62980.95153969814
9.8,62915.808601545745
9.9,62850.115420691625
10.0,62783.872268057836
10.100000000000001,62717.07860180026
10.200000000000001,62649.733609152725
10.3,62581.83647734905
10.4,62513.38747731129
10.5,62444.38430620195
10.600000000000001,62374.82831863133
10.700000000000001,62304.71775360603
10.8,62234.0527465871
10.9,62162.833026652464
11.0,62091.057103730804
11.100000000000001,62018.72484236109
11.200000000000001,61945.83651346538
11.3,61872.39076243339
11.4,61798.38786018716
11.5,61723.82726488259
11.600000000000001,61648.7077573704
11.700000000000001,61573.02974403369
11.8,61496.792412106275
11.9,61419.99521974404
12.0,61342.63870879111
12.100000000000001,61264.72138917615
12.200000000000001,61186.244073665344
12.3,61107.20540764839
12.4,61027.60579750838
12.5,60947.44415955708
12.600000000000001,60866.72022287243
12.700000000000001,60785.43398745443
12.8,60703.5859951472
12.9,60621.174891340444
13.0,60538.200540573125
13.100000000000001,60454.66267192319
13.200000000000001,60370.56114992962
13.3,60285.89570367034
13.4,60200.666739528446
13.5,60114.87398658188
13.600000000000001,60028.51622568137
13.700000000000001,59941.59454051516
13.8,59854.107847395004
13.9,59766.05682362606
14.0,59677.44092736421
14.100000000000001,59588.25907492121
14.200000000000001,59498.512891829414
14.3,59408.20021071236
14.4,59317.32265710239
14.5,59225.87901185025
14.600000000000001,59133.870629566234
14.700000000000001,59041.295884717976
14.8,58948.15559007166
14.9,58854.44988108832
15.0,58760.17902869001
15.100000000000001,58665.341678266435
15.200000000000001,58569.93904896686
15.3,58473.97046348614
15.4,58377.43632820737
15.5,58280.33691405259
15.600000000000001,58182.67154371667
15.700000000000001,58084.44197819298
15.8,57985.64564372198
15.9,57886.28511406321
16.0,57786.358492762265
16.1,57685.867676273556
16.2,57584.81144544782
16.3,57483.19020666815
16.400000000000002,57381.0051790838
16.5,57278.25527900654
16.6,57174.94118374152
16.7,57071.06329967182
16.8,56966.62108495333
16.900000000000002,56861.61548781326
17.0,56756.047185556745
17.1,56649.9148235735
17.2,56543.220433778966
17.3,56435.963609790044
17.400000000000002,56328.14408068469
17.5,56219.76252376805
17.6,56110.81988726732
17.7,56001.31495203323
17.8,55891.25056274742
17.900000000000002,55780.62509387752
18.0,55669.43922272869
18.1,55557.693355684
18.2,55445.388305509645
18.3,55332.524343127676
18.400000000000002,55219.10092669398
18.5,55105.12049450708
18.6,54990.581691956686
18.7,54875.486144575145
18.8,54759.83283640474
18.900000000000002,54643.62420574401
19.0,54526.859439826774
19.1,54409.539825532804
19.200000000000003,54291.665159670556
19.3,54173.236051814674
19.400000000000002,54054.25351792287
19.5,53934.717761186694
19.6,53814.62986529437
19.700000000000003,53693.9897625154
19.8,53572.79873972955
19.900000000000002,53451.05720331992
20.0,53328.76569513062
20.1,53205.924011970106
20.200000000000003,53082.533914831765
20.3,52958.59574236817
20.400000000000002,52834.11023961498
20.5,52709.07815160786
20.6,52583.50002019093
20.700000000000003,52457.37719997447
20.8,52330.7096909585
20.900000000000002,52203.498373639704
21.0,52075.74392532323
21.1,51947.44790381091
21.200000000000003,51818.60997045018
21.3,51689.23154758185
21.400000000000002,51559.31371889414
21.5,51428.8570939617
21.6,51297.862079167615
21.700000000000003,51166.330367774746
21.8,51034.26263708824
21.900000000000002,50901.6588193776
22.0,50768.52128521082
22.1,50634.85010231843
22.200000000000003,50500.64601573608
22.3,50365.91065099613
22.400000000000002,50230.644820864756
22.5,50094.84872853351
22.6,49958.52440591782
22.700000000000003,49821.67205620924
22.8,49684.293575862175
22.900000000000002,49546.388964876634
23.0,49407.95991651549
23.1,49269.007379005925
23.200000000000003,49129.53257149723
23.3,48989.53617129453
23.400000000000002,48849.01987166072
23.5,48707.98441763144
23.6,48566.43082516442
23.700000000000003,48424.36031340892
23.8,48281.774236975245
23.900000000000002,48138.67334089905
24.0,47995.0593184432
24.1,47850.93325329594
24.200000000000003,47706.296500067554
24.3,47561.150210176806
24.400000000000002,47415.49539958141
24.5,47269.33362608319
24.6,47122.665770178864
24.700000000000003,46975.49345740077
24.8,46827.817568245606
24.900000000000002,46679.64040555087
25.0,46530.96251116068
25.1,46381.78530741585
25.200000000000003,46232.11001346563
25.3,46081.93832257291
25.400000000000002,45931.27158934797
25.5,45780.11096520956
25.6,45628.45814342056
25.700000000000003,45476.31481724383
25.8,45323.68118987091
25.900000000000002,45170.560376905494
26.0,45016.95258153911
26.1,44862.86010660927
26.200000000000003,44708.284035804194
26.3,44553.226130117284
26.400000000000002,44397.688150541915
26.5,44241.67118076632
26.6,44085.1770495144
26.700000000000003,43928.20677274388
26.8,43770.76245010071
26.900000000000002,43612.846384422395
27.0,43454.45884663099
27.1,43295.60234275554
27.200000000000003,43136.27795648429
27.3,42976.48778746319
27.400000000000002,42816.2334612246
27.5,42655.516738761886
27.6,42494.33890695485
27.700000000000003,42332.7019299884
27.8,42170.608042969536
27.900000000000002,42008.05846504752
28.0,41845.05509267676
28.1,41681.59975458116
28.200000000000003,41517.6942117541
28.3,41353.34036064999
28.400000000000002,41188.54030091479
28.5,41023.29498077571
28.6,40857.60670307025
28.700000000000003,40691.47749971384
28.8,40524.90960581348
28.900000000000002,40357.90403732689
29.0,40190.4633002831
29.1,40022.589832980666
29.200000000000003,39854.28458364678
29.3,39685.54971965791
29.400000000000002,39516.38788250414
29.5,39346.800155873694
29.6,39176.78965537026
29.700000000000003,39006.35746468207
29.8,38835.50561572457
29.900000000000002,38664.236953179374
30.0,38492.552899387294
30.1,38320.455960377374
30.200000000000003,38147.947964873514
30.3,37975.03074159961
30.400000000000002,37801.70727069831
30.5,37627.97863585785
30.6,37453.847952681914
30.700000000000003,37279.31657578079
30.8,37104.38728210558
30.900000000000002,36929.06210357173
31.0,36753.34293663365
31.1,36577.23262597296
31.200000000000003,36400.73306804408
31.3,36223.84676887605
31.400000000000002,36046.57576038431
31.5,35868.92281951996
31.6,35690.889571815365
31.700000000000003,35512.47865876059
31.8,35333.69245092366
31.900000000000002,35154.533318872585
32.0,34975.00349771435
32.1,34795.105561208526
32.2,34614.84194765362
32.300000000000004,34434.2146889651
32.4,34253.22669755508
32.5,34071.880343991594
32.6,33890.177863381614
32.7,33708.12169402367
32.800000000000004,33525.71461286888
32.9,33342.95905821576
33.0,33159.85740063233
33.1,32976.41248480022
33.2,32792.626681287424
33.300000000000004,32608.502563853523
33.4,32424.042503066525
33.5,32239.249749991133
33.6,32054.12599789022
33.7,31868.674701020038
33.800000000000004,31682.898094487573
33.9,31496.799090704957
34.0,31310.38012797072
34.1,31123.64398323597
34.2,30936.593297990778
34.300000000000004,30749.23118783882
34.4,30561.560091078634
34.5,30373.58251373926
34.6,30185.301571424377
34.7,29996.72031200715
34.800000000000004,29807.840835133535
34.9,29618.666595059778
35.0,29429.200165545448
35.1,29239.444120350097
35.2,29049.402049191012
35.300000000000004,28859.076085579407
35.4,28668.469751502045
35.5,28477.585688449002
