Depth (Ft),Displacement (in)
0.0,[0.16666667]
0.1,[0.1666387]
0.2,[0.16661074]
0.30000000000000004,[0.1665828]
0.4,[0.16655487]
0.5,[0.16652695]
0.6000000000000001,[0.16649905]
0.7000000000000001,[0.16647115]
0.8,[0.16644327]
0.9,[0.16641541]
1.0,[0.16638755]
1.1,[0.16635971]
1.2000000000000002,[0.16633189]
1.3,[0.16630407]
1.4000000000000001,[0.16627627]
1.5,[0.16624848]
1.6,[0.1662207]
1.7000000000000002,[0.16619294]
1.8,[0.16616519]
1.9000000000000001,[0.16613745]
2.0,[0.16610972]
2.1,[0.16608201]
2.2,[0.16605431]
2.3000000000000003,[0.16602662]
2.4000000000000004,[0.16599895]
2.5,[0.16597129]
2.6,[0.16594364]
2.7,[0.165916]
2.8000000000000003,[0.16588838]
2.9000000000000004,[0.16586077]
3.0,[0.16583317]
3.1,[0.16580559]
3.2,[0.16577802]
3.3000000000000003,[0.16575046]
3.4000000000000004,[0.16572291]
3.5,[0.16569538]
3.6,[0.16566786]
3.7,[0.16564035]
3.8000000000000003,[0.16561286]
3.9000000000000004,[0.16558537]
4.0,[0.1655579]
4.1000000000000005,[0.16553045]
4.2,[0.165503]
4.3,[0.16547557]
4.4,[0.16544816]
4.5,[0.16542075]
4.6000000000000005,[0.16539336]
4.7,[0.16536598]
4.800000000000001,[0.16533861]
4.9,[0.16531126]
5.0,[0.16528392]
5.1000000000000005,[0.16525659]
5.2,[0.16522927]
5.300000000000001,[0.16520197]
5.4,[0.16517468]
5.5,[0.1651474]
5.6000000000000005,[0.16512014]
5.7,[0.16509289]
5.800000000000001,[0.16506565]
5.9,[0.16503842]
6.0,[0.16501121]
6.1000000000000005,[0.16498401]
6.2,[0.16495682]
6.300000000000001,[0.16492965]
6.4,[0.16490249]
6.5,[0.16487534]
6.6000000000000005,[0.1648482]
6.7,[0.16482108]
6.800000000000001,[0.16479397]
6.9,[0.16476687]
7.0,[0.16473978]
7.1000000000000005,[0.16471271]
7.2,[0.16468565]
7.300000000000001,[0.16465861]
7.4,[0.16463157]
7.5,[0.16460455]
7.6000000000000005,[0.16457754]
7.7,[0.16455055]
7.800000000000001,[0.16452357]
7.9,[0.1644966]
8.0,[0.16446964]
8.1,[0.1644427]
8.200000000000001,[0.16441576]
8.3,[0.16438885]
8.4,[0.16436194]
8.5,[0.16433505]
8.6,[0.16430817]
8.700000000000001,[0.1642813]
8.8,[0.16425445]
8.9,[0.1642276]
9.0,[0.16420078]
9.1,[0.16417396]
9.200000000000001,[0.16414716]
9.3,[0.16412037]
9.4,[0.16409359]
9.5,[0.16406682]
9.600000000000001,[0.16404007]
9.700000000000001,[0.16401333]
9.8,[0.16398661]
9.9,[0.16395989]
10.0,[0.16393319]
10.100000000000001,[0.16390651]
10.200000000000001,[0.16387983]
10.3,[0.16385317]
10.4,[0.16382652]
10.5,[0.16379988]
10.600000000000001,[0.16377326]
10.700000000000001,[0.16374665]
10.8,[0.16372005]
10.9,[0.16369346]
11.0,[0.16366689]
11.100000000000001,[0.16364033]
11.200000000000001,[0.16361379]
11.3,[0.16358725]
11.4,[0.16356073]
11.5,[0.16353422]
11.600000000000001,[0.16350773]
11.700000000000001,[0.16348124]
11.8,[0.16345477]
11.9,[0.16342832]
12.0,[0.16340187]
12.100000000000001,[0.16337544]
12.200000000000001,[0.16334902]
12.3,[0.16332262]
12.4,[0.16329622]
12.5,[0.16326984]
12.600000000000001,[0.16324348]
12.700000000000001,[0.16321712]
12.8,[0.16319078]
12.9,[0.16316445]
13.0,[0.16313813]
13.100000000000001,[0.16311183]
13.200000000000001,[0.16308554]
13.3,[0.16305926]
13.4,[0.163033]
13.5,[0.16300674]
13.600000000000001,[0.1629805]
13.700000000000001,[0.16295428]
13.8,[0.16292806]
13.9,[0.16290186]
14.0,[0.16287568]
14.100000000000001,[0.1628495]
14.200000000000001,[0.16282334]
14.3,[0.16279719]
14.4,[0.16277105]
14.5,[0.16274493]
14.600000000000001,[0.16271882]
14.700000000000001,[0.16269272]
14.8,[0.16266663]
14.9,[0.16264056]
15.0,[0.1626145]
15.100000000000001,[0.16258845]
15.200000000000001,[0.16256242]
15.3,[0.1625364]
15.4,[0.16251039]
15.5,[0.16248439]
15.600000000000001,[0.16245841]
15.700000000000001,[0.16243244]
15.8,[0.16240648]
15.9,[0.16238053]
16.0,[0.1623546]
16.1,[0.16232868]
16.2,[0.16230278]
16.3,[0.16227688]
16.400000000000002,[0.162251]
16.5,[0.16222514]
16.6,[0.16219928]
16.7,[0.16217344]
16.8,[0.16214761]
16.900000000000002,[0.16212179]
17.0,[0.16209599]
17.1,[0.1620702]
17.2,[0.16204442]
17.3,[0.16201865]
17.400000000000002,[0.1619929]
17.5,[0.16196716]
17.6,[0.16194143]
17.7,[0.16191572]
17.8,[0.16189002]
17.900000000000002,[0.16186433]
18.0,[0.16183865]
18.1,[0.16181299]
18.2,[0.16178734]
18.3,[0.1617617]
18.400000000000002,[0.16173608]
18.5,[0.16171047]
18.6,[0.16168487]
18.7,[0.16165928]
18.8,[0.16163371]
18.900000000000002,[0.16160815]
19.0,[0.1615826]
19.1,[0.16155707]
19.200000000000003,[0.16153155]
19.3,[0.16150604]
19.400000000000002,[0.16148054]
19.5,[0.16145506]
19.6,[0.16142959]
19.700000000000003,[0.16140413]
19.8,[0.16137868]
19.900000000000002,[0.16135325]
20.0,[0.16132783]
20.1,[0.16130242]
20.200000000000003,[0.16127703]
20.3,[0.16125165]
20.400000000000002,[0.16122628]
20.5,[0.16120093]
20.6,[0.16117558]
20.700000000000003,[0.16115025]
20.8,[0.16112494]
20.900000000000002,[0.16109963]
21.0,[0.16107434]
21.1,[0.16104906]
21.200000000000003,[0.1610238]
21.3,[0.16099854]
21.400000000000002,[0.1609733]
21.5,[0.16094808]
21.6,[0.16092286]
21.700000000000003,[0.16089766]
21.8,[0.16087247]
21.900000000000002,[0.16084729]
22.0,[0.16082213]
22.1,[0.16079698]
22.200000000000003,[0.16077184]
22.3,[0.16074672]
22.400000000000002,[0.16072161]
22.5,[0.16069651]
22.6,[0.16067142]
22.700000000000003,[0.16064635]
22.8,[0.16062129]
22.900000000000002,[0.16059624]
23.0,[0.1605712]
23.1,[0.16054618]
23.200000000000003,[0.16052117]
23.3,[0.16049618]
23.400000000000002,[0.16047119]
23.5,[0.16044622]
23.6,[0.16042126]
23.700000000000003,[0.16039632]
23.8,[0.16037138]
23.900000000000002,[0.16034646]
24.0,[0.16032156]
24.1,[0.16029666]
24.200000000000003,[0.16027178]
24.3,[0.16024691]
24.400000000000002,[0.16022206]
24.5,[0.16019721]
24.6,[0.16017238]
24.700000000000003,[0.16014757]
24.8,[0.16012276]
24.900000000000002,[0.16009797]
25.0,[0.16007319]
25.1,[0.16004842]
25.200000000000003,[0.16002367]
25.3,[0.15999893]
25.400000000000002,[0.1599742]
25.5,[0.15994949]
25.6,[0.15992479]
25.700000000000003,[0.1599001]
25.8,[0.15987542]
25.900000000000002,[0.15985076]
26.0,[0.15982611]
26.1,[0.15980147]
26.200000000000003,[0.15977684]
26.3,[0.15975223]
26.400000000000002,[0.15972763]
26.5,[0.15970304]
26.6,[0.15967847]
26.700000000000003,[0.15965391]
26.8,[0.15962936]
26.900000000000002,[0.15960482]
27.0,[0.1595803]
27.1,[0.15955579]
27.200000000000003,[0.1595313]
27.3,[0.15950681]
27.400000000000002,[0.15948234]
27.5,[0.15945788]
27.6,[0.15943343]
27.700000000000003,[0.159409]
27.8,[0.15938458]
27.900000000000002,[0.15936017]
28.0,[0.15933578]
28.1,[0.1593114]
28.200000000000003,[0.15928703]
28.3,[0.15926267]
28.400000000000002,[0.15923833]
28.5,[0.159214]
28.6,[0.15918968]
28.700000000000003,[0.15916538]
28.8,[0.15914108]
28.900000000000002,[0.1591168]
29.0,[0.15909254]
29.1,[0.15906828]
29.200000000000003,[0.15904404]
29.3,[0.15901982]
29.400000000000002,[0.1589956]
29.5,[0.1589714]
29.6,[0.15894721]
29.700000000000003,[0.15892303]
29.8,[0.15889887]
29.900000000000002,[0.15887472]
30.0,[0.15885058]
30.1,[0.15882645]
30.200000000000003,[0.15880234]
30.3,[0.15877824]
30.400000000000002,[0.15875415]
30.5,[0.15873008]
30.6,[0.15870602]
30.700000000000003,[0.15868197]
30.8,[0.15865793]
30.900000000000002,[0.15863391]
31.0,[0.1586099]
31.1,[0.1585859]
31.200000000000003,[0.15856192]
31.3,[0.15853794]
31.400000000000002,[0.15851398]
31.5,[0.15849004]
31.6,[0.15846611]
31.700000000000003,[0.15844218]
31.8,[0.15841828]
31.900000000000002,[0.15839438]
32.0,[0.1583705]
32.1,[0.15834663]
32.2,[0.15832277]
32.300000000000004,[0.15829893]
32.4,[0.1582751]
32.5,[0.15825128]
32.6,[0.15822748]
32.7,[0.15820368]
32.800000000000004,[0.1581799]
32.9,[0.15815614]
33.0,[0.15813238]
33.1,[0.15810864]
33.2,[0.15808491]
33.300000000000004,[0.1580612]
33.4,[0.15803749]
33.5,[0.1580138]
33.6,[0.15799013]
33.7,[0.15796646]
33.800000000000004,[0.15794281]
33.9,[0.15791917]
34.0,[0.15789555]
34.1,[0.15787193]
34.2,[0.15784833]
34.300000000000004,[0.15782474]
34.4,[0.15780117]
34.5,[0.15777761]
34.6,[0.15775406]
34.7,[0.15773052]
34.800000000000004,[0.157707]
34.9,[0.15768349]
35.0,[0.15765999]
35.1,[0.15763651]
35.2,[0.15761303]
35.300000000000004,[0.15758957]
35.4,[0.15756613]
35.5,[0.15754269]
35.6,[0.15751927]
35.7,[0.15749586]
35.800000000000004,[0.15747247]
35.9,[0.15744909]
36.0,[0.15742572]
36.1,[0.15740236]
36.2,[0.15737902]
36.300000000000004,[0.15735568]
36.4,[0.15733237]
36.5,[0.15730906]
36.6,[0.15728577]
36.7,[0.15726249]
36.800000000000004,[0.15723922]
36.9,[0.15721597]
37.0,[0.15719272]
37.1,[0.15716949]
37.2,[0.15714628]
37.300000000000004,[0.15712308]
37.4,[0.15709989]
37.5,[0.15707671]
37.6,[0.15705354]
37.7,[0.15703039]
37.800000000000004,[0.15700725]
37.9,[0.15698413]
38.0,[0.15696101]
38.1,[0.15693791]
38.2,[0.15691482]
38.300000000000004,[0.15689175]
38.400000000000006,[0.15686869]
38.5,[0.15684564]
38.6,[0.1568226]
38.7,[0.15679958]
38.800000000000004,[0.15677656]
38.900000000000006,[0.15675357]
39.0,[0.15673058]
39.1,[0.15670761]
39.2,[0.15668465]
39.300000000000004,[0.1566617]
39.400000000000006,[0.15663877]
39.5,[0.15661585]
39.6,[0.15659294]
39.7,[0.15657004]
39.800000000000004,[0.15654716]
39.900000000000006,[0.15652429]
40.0,[0.15650143]
40.1,[0.15647859]
40.2,[0.15645575]
40.300000000000004,[0.15643294]
40.400000000000006,[0.15641013]
40.5,[0.15638734]
40.6,[0.15636456]
40.7,[0.15634179]
40.800000000000004,[0.15631903]
40.900000000000006,[0.15629629]
41.0,[0.15627356]
41.1,[0.15625085]
41.2,[0.15622814]
41.300000000000004,[0.15620545]
41.400000000000006,[0.15618277]
41.5,[0.15616011]
41.6,[0.15613746]
41.7,[0.15611482]
41.800000000000004,[0.15609219]
41.900000000000006,[0.15606958]
42.0,[0.15604697]
42.1,[0.15602439]
42.2,[0.15600181]
42.300000000000004,[0.15597925]
42.400000000000006,[0.1559567]
42.5,[0.15593416]
42.6,[0.15591164]
42.7,[0.15588913]
42.800000000000004,[0.15586663]
42.900000000000006,[0.15584414]
43.0,[0.15582167]
43.1,[0.15579921]
43.2,[0.15577676]
43.300000000000004,[0.15575433]
43.400000000000006,[0.1557319]
43.5,[0.1557095]
43.6,[0.1556871]
43.7,[0.15566472]
43.800000000000004,[0.15564235]
43.900000000000006,[0.15561999]
44.0,[0.15559764]
44.1,[0.15557531]
44.2,[0.15555299]
44.300000000000004,[0.15553068]
44.400000000000006,[0.15550839]
44.5,[0.15548611]
44.6,[0.15546384]
44.7,[0.15544159]
44.800000000000004,[0.15541934]
44.900000000000006,[0.15539711]
45.0,[0.1553749]
45.1,[0.15535269]
45.2,[0.1553305]
45.300000000000004,[0.15530832]
45.400000000000006,[0.15528616]
45.5,[0.15526401]
45.6,[0.15524187]
45.7,[0.15521974]
45.800000000000004,[0.15519762]
45.900000000000006,[0.15517552]
46.0,[0.15515343]
46.1,[0.15513136]
46.2,[0.1551093]
46.300000000000004,[0.15508725]
46.400000000000006,[0.15506521]
46.5,[0.15504318]
46.6,[0.15502117]
46.7,[0.15499917]
46.800000000000004,[0.15497719]
46.900000000000006,[0.15495521]
47.0,[0.15493325]
47.1,[0.1549113]
47.2,[0.15488937]
47.300000000000004,[0.15486745]
47.400000000000006,[0.15484554]
47.5,[0.15482364]
47.6,[0.15480176]
47.7,[0.15477989]
47.800000000000004,[0.15475803]
47.900000000000006,[0.15473618]
48.0,[0.15471435]
48.1,[0.15469253]
48.2,[0.15467072]
48.300000000000004,[0.15464893]
48.400000000000006,[0.15462715]
48.5,[0.15460538]
48.6,[0.15458362]
48.7,[0.15456188]
48.800000000000004,[0.15454015]
48.900000000000006,[0.15451843]
49.0,[0.15449673]
49.1,[0.15447504]
49.2,[0.15445336]
49.300000000000004,[0.15443169]
49.400000000000006,[0.15441004]
49.5,[0.1543884]
49.6,[0.15436677]
49.7,[0.15434516]
49.800000000000004,[0.15432356]
49.900000000000006,[0.15430197]
50.0,[0.15428039]
50.1,[0.15425883]
50.2,[0.15423728]
50.300000000000004,[0.15421574]
50.400000000000006,[0.15419421]
50.5,[0.1541727]
50.6,[0.1541512]
50.7,[0.15412972]
50.800000000000004,[0.15410824]
50.900000000000006,[0.15408678]
51.0,[0.15406533]
51.1,[0.1540439]
51.2,[0.15402248]
51.300000000000004,[0.15400107]
51.400000000000006,[0.15397967]
51.5,[0.15395828]
51.6,[0.15393691]
51.7,[0.15391555]
51.800000000000004,[0.15389421]
51.900000000000006,[0.15387288]
52.0,[0.15385156]
52.1,[0.15383025]
52.2,[0.15380895]
52.300000000000004,[0.15378767]
52.400000000000006,[0.1537664]
52.5,[0.15374515]
52.6,[0.15372391]
52.7,[0.15370267]
52.800000000000004,[0.15368146]
52.900000000000006,[0.15366025]
53.0,[0.15363906]
53.1,[0.15361788]
53.2,[0.15359671]
53.300000000000004,[0.15357556]
53.400000000000006,[0.15355442]
53.5,[0.15353329]
53.6,[0.15351218]
53.7,[0.15349108]
53.800000000000004,[0.15346999]
53.900000000000006,[0.15344891]
54.0,[0.15342785]
54.1,[0.15340679]
54.2,[0.15338576]
54.300000000000004,[0.15336473]
54.400000000000006,[0.15334372]
54.5,[0.15332272]
54.6,[0.15330173]
54.7,[0.15328076]
54.800000000000004,[0.1532598]
54.900000000000006,[0.15323885]
55.0,[0.15321791]
55.1,[0.15319699]
55.2,[0.15317608]
55.300000000000004,[0.15315518]
55.400000000000006,[0.1531343]
55.5,[0.15311343]
55.6,[0.15309257]
55.7,[0.15307172]
55.800000000000004,[0.15305089]
55.900000000000006,[0.15303007]
56.0,[0.15300926]
56.1,[0.15298846]
56.2,[0.15296768]
56.300000000000004,[0.15294691]
56.400000000000006,[0.15292616]
56.5,[0.15290541]
56.6,[0.15288468]
56.7,[0.15286396]
56.800000000000004,[0.15284326]
56.900000000000006,[0.15282257]
57.0,[0.15280189]
57.1,[0.15278122]
57.2,[0.15276057]
57.300000000000004,[0.15273993]
57.400000000000006,[0.1527193]
57.5,[0.15269868]
57.6,[0.15267808]
57.7,[0.15265749]
57.800000000000004,[0.15263691]
57.900000000000006,[0.15261635]
58.0,[0.1525958]
58.1,[0.15257526]
58.2,[0.15255473]
58.300000000000004,[0.15253422]
58.400000000000006,[0.15251372]
58.5,[0.15249323]
58.6,[0.15247276]
58.7,[0.1524523]
58.800000000000004,[0.15243185]
58.900000000000006,[0.15241141]
59.0,[0.15239099]
59.1,[0.15237058]
59.2,[0.15235018]
59.300000000000004,[0.15232979]
59.400000000000006,[0.15230942]
59.5,[0.15228906]
59.6,[0.15226872]
59.7,[0.15224838]
59.800000000000004,[0.15222806]
59.900000000000006,[0.15220775]
60.0,[0.15218746]
60.1,[0.15216718]
